gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3947125893	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/238080025/original.jpeg	https://www.inaturalist.org/photos/238080025					2019-09-01T15:45:17Z	eemill		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eemill
3947125087	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/238520635/original.jpg	https://www.inaturalist.org/photos/238520635					2022-10-20T00:14:48Z	quovadis		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	quovadis
3947125087	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/238520619/original.jpg	https://www.inaturalist.org/photos/238520619					2022-10-20T00:14:48Z	quovadis		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	quovadis
3947124418	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/237279588/original.jpg	https://www.inaturalist.org/photos/237279588					2022-09-16T23:48:20Z	woodhaunt		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	woodhaunt
3947123401	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/237146101/original.jpg	https://www.inaturalist.org/photos/237146101					2022-10-14T14:04:16Z	noahwest2002		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	noahwest2002
3947119366	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90523922/original.jpg	https://www.inaturalist.org/photos/90523922					2020-08-17T14:54:31Z	jofrog		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jofrog
3947111796	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/227243494/original.jpg	https://www.inaturalist.org/photos/227243494					2022-09-03T01:57:23Z	demerese		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	demerese
3947111796	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/232556890/original.jpg	https://www.inaturalist.org/photos/232556890					2022-09-03T01:57:23Z	demerese		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	demerese
3947094582	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/239194733/original.jpg	https://www.inaturalist.org/photos/239194733					2022-10-21T20:08:46Z	eemill		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eemill
3947094582	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/239194726/original.jpg	https://www.inaturalist.org/photos/239194726					2022-10-21T20:08:46Z	eemill		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eemill
3947094582	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/239194763/original.jpg	https://www.inaturalist.org/photos/239194763					2022-10-21T20:08:46Z	eemill		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eemill
3947094582	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/239194748/original.jpg	https://www.inaturalist.org/photos/239194748					2022-10-21T20:08:46Z	eemill		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eemill
3947082324	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/238823919/original.jpeg	https://www.inaturalist.org/photos/238823919					2022-06-20T22:39:07Z	Andy Fyon		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andy Fyon
3947082324	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/238823926/original.jpeg	https://www.inaturalist.org/photos/238823926					2022-06-20T22:39:09Z	Andy Fyon		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andy Fyon
3947070485	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/237278313/original.jpg	https://www.inaturalist.org/photos/237278313					2022-09-16T22:57:37Z	woodhaunt		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	woodhaunt
3947068649	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/237660138/original.jpg	https://www.inaturalist.org/photos/237660138					2022-10-05T18:57:42Z	amaya-black		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	amaya-black
3947059843	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233633591/original.jpeg	https://www.inaturalist.org/photos/233633591					2022-09-28T16:08:06Z	Andrew Lewis		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Andrew Lewis
3947058702	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/220328420/original.jpg	https://www.inaturalist.org/photos/220328420					2022-08-05T21:53:33Z	huntybunty		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	huntybunty
3947058702	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/220280145/original.jpg	https://www.inaturalist.org/photos/220280145					2022-08-05T21:53:33Z	huntybunty		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	huntybunty
3925506579	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/236390561/original.jpg	https://www.inaturalist.org/photos/236390561					2022-08-18T22:24:00Z	hheales		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hheales
3925445055	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235468973/original.jpeg	https://www.inaturalist.org/photos/235468973					2022-10-06T23:44:06Z	Marcus Larch		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marcus Larch
3925445055	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235468986/original.jpeg	https://www.inaturalist.org/photos/235468986					2022-10-06T23:43:43Z	Marcus Larch		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marcus Larch
3925443906	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235329395/original.jpg	https://www.inaturalist.org/photos/235329395					2021-10-30T19:15:11Z	C. Desjardins		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	C. Desjardins
3925442162	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235606923/original.jpg	https://www.inaturalist.org/photos/235606923					2022-09-08T15:36:11Z	Evelyn		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Evelyn
